province,city,latitude,longitude,name,source,page,coordinates,index,crawl_time,provider,address
上海市,上海市,31.31723,121.623306,SH6 Shanghai Data Center,上海-shanghai,1,"31.31723,121.623306",1,2025-06-28 21:19:30,Equinix,"898 Xinling Road, Pudong, Shanghai, China"
上海市,上海市,31.2767859,121.541634,SH5 Yangpu District Data Center,上海-shanghai,1,"31.2767859,121.541634",2,2025-06-28 21:19:30,Equinix,"619 Longchang Road, Yangpu, Shanghai, China"
上海市,上海市,31.246309,121.620621,SH3 Pudong New Area Data Center,上海-shanghai,1,"31.246309,121.620621",3,2025-06-28 21:19:30,Equinix,"700 Jinyu Road, Pudong, Shanghai, China"
上海市,上海市,31.230416,121.473701,China East-Shanghai,上海-shanghai,1,"31.230416,121.473701",4,2025-06-28 21:19:30,Microsoft Azure,"Shanghai, China"
上海市,上海市,31.1837487,121.4371364,Shanghai Telecom Caoxi Data Center,上海-shanghai,1,"31.1837487,121.4371364",5,2025-06-28 21:19:30,China Telecom,"China Telecom Co., Ltd. Shanghai Southern District Telecommunication Bureau Xujiahui Branch, Wan Ti Guan, Xuhui Qu, Shanghai Shi, China"
上海市,上海市,31.320884,121.606972,"GDS SH3, SH4 Data Center",上海-shanghai,1,"31.320884,121.606972",6,2025-06-28 21:19:30,China Telecom,"Shang Hai Shi Gong An Ju Wai Gao Qiao Bao Shui Qu Gong An Chu, 3U Building (Huajing Road), Huajing Road, Pudong Xinqu, Shanghai, China"
上海市,上海市,31.221517,121.544379,Information Park Data Center,上海-shanghai,1,"31.221517,121.544379",7,2025-06-28 21:19:30,China Telecom,"Pudong, Shanghai Shi, China"
上海市,上海市,31.276205,121.541897,SHA5 Shanghai Data Center,上海-shanghai,1,"31.276205,121.541897",8,2025-06-28 21:19:30,Zenlayer,"619 Longchang Road, Yangpu District, Shanghai, China, 200090"
上海市,上海市,31.344898,121.451176,Shanghai Hulan IDC Data Center,上海-shanghai,1,"31.344898,121.451176",9,2025-06-28 21:19:30,China Telecom,"Shang Hai Zhong Wu Shi Ye You Xian Gong Si, Shanghai Xinguang Communication Equipment Plant, Hulan Road, Baoshan Qu, Shanghai, China"
上海市,上海市,31.2341239,121.509968,Shanghai Hotline Information Building Data Center,上海-shanghai,1,"31.2341239,121.509968",10,2025-06-28 21:19:30,China Telecom,"21st Century Tower, Lu Jia Zui, Pudong Xinqu, Shanghai Shi, China"
上海市,上海市,31.214146,121.637741,SH1 Pudong New Area Data Center,上海-shanghai,1,"31.214146,121.637741",11,2025-06-28 21:19:30,Equinix,"400 Fangchun Road, Pudong, Shanghai, China"
上海市,上海市,31.266133,121.611248,Shanghai Jinqiao Data Center,上海-shanghai,1,"31.266133,121.611248",12,2025-06-28 21:19:30,Telehouse,"Jinqiao, Pudong, Shanghai, China"
上海市,上海市,31.24631,121.620243,SH2 Data Center,上海-shanghai,1,"31.24631,121.620243",13,2025-06-28 21:19:30,China Telecom,"Qianzhouyuan, Pudong Xinqu, Shanghai Shi, China"
上海市,上海市,31.3138344,121.4411019,SHA2 Shanghai Data Center,上海-shanghai,1,"31.3138344,121.4411019",14,2025-06-28 21:19:30,Zenlayer,"Zhabei, Shanghai, China, 200443"
上海市,上海市,31.22841,121.60208,SHA3 Shanghai Data Center,上海-shanghai,1,"31.22841,121.60208",15,2025-06-28 21:19:30,Rackspace,"China, Shanghai, Pudong, 张家浜"
上海市,上海市,31.0699605,121.7495334,Nanhui IDC Data Center,上海-shanghai,1,"31.0699605,121.7495334",16,2025-06-28 21:19:30,China Telecom,"China, Shanghai Shi, Pudong, 城西路3号"
上海市,上海市,31.2273498,121.4479303,Shanghai Telecom Guoli Data Center,上海-shanghai,1,"31.2273498,121.4479303",17,2025-06-28 21:19:30,China Telecom,"China Telecom Shanghai Company Long-Distance Wuxianbu Market Tuozhanchu, Guoli Mansion, Beijing West Road, Jingan Qu, Shanghai Shi, China"
上海市,上海市,31.218747,121.504401,Shanghai East Gate IDC Data Center,上海-shanghai,1,"31.218747,121.504401",18,2025-06-28 21:19:30,China Telecom,"Shang Hai Tong Xin Guan Li Ju Zhao Biao Tou Biao Guan Li Ban Gong Shi, Shanghai Tongxin Administration Bureau Tendering and Bidding Management Office, Zhongshan South Road, Huangpu Qu, Shanghai, China"
上海市,上海市,31.157136,121.375543,Shanghai Changxin Caobao Road Data Center,上海-shanghai,1,"31.157136,121.375543",19,2025-06-28 21:19:30,China Telecom,"Shanghai Jingyi Cable Communication Design Institute, Caobao Road, Minhang Qu, Shanghai, China"
上海市,上海市,31.238498,121.501923,XIY2 Xi'an Data Center,上海-shanghai,1,"31.238498,121.501923",20,2025-06-28 21:19:30,Zenlayer,"55 Shi Ji Da Dao, Lujiazui, Pudong, Shanghai, China"
上海市,上海市,31.375869,121.265374,Shanghai Xingshun Data Center,上海-shanghai,1,"31.375869,121.265374",21,2025-06-28 21:19:30,China Telecom,"Jiading, Shanghai, China"
上海市,上海市,31.3389251,121.4370917,Shanghai Jiyun IDC Data Center,上海-shanghai,1,"31.3389251,121.4370917",22,2025-06-28 21:19:30,China Telecom,"Volvo Cars China Training Center, Baoshan Qu, Shanghai Shi, China"
上海市,上海市,30.8556073,121.0881835,Shanghai Jianan Data Center,上海-shanghai,1,"30.8556073,121.0881835",23,2025-06-28 21:19:30,China Telecom,"55 Jian'an Rd, Jinshan Qu, Shanghai Shi, China, 314211"
