province,district,latitude,longitude,name,source,coordinates,index,crawl_time
上海市,黄浦区,31.230416,121.473701,SH6 Shanghai Data Center,https://www.datacenters.com/locations/china/shanghai/shanghai,"31.230416,121.473701",1,2025-06-20 17:01:25
上海市,浦东新区,31.31723,121.623306,SH5 Yangpu District Data Center,https://www.datacenters.com/locations/china/shanghai/shanghai,"31.31723,121.623306",2,2025-06-20 17:01:25
上海市,杨浦区,31.2767859,121.541634,SH3 Pudong New Area Data Center,https://www.datacenters.com/locations/china/shanghai/shanghai,"31.2767859,121.541634",3,2025-06-20 17:01:25
上海市,浦东新区,31.246309,121.620621,Shanghai Data Center,https://www.datacenters.com/locations/china/shanghai/shanghai,"31.246309,121.620621",4,2025-06-20 17:01:25
上海市,杨浦区,31.240308,121.507389,Information Park Data Center,https://www.datacenters.com/locations/china/shanghai/shanghai,"31.240308,121.507389",5,2025-06-20 17:01:25
上海市,徐汇区,31.1837487,121.4371364,Suzhou Chang'an Road Data Center,https://www.datacenters.com/locations/china/shanghai/shanghai,"31.1837487,121.4371364",6,2025-06-20 17:01:25
上海市,浦东新区,31.320884,121.606972,SHA5 Shanghai Data Center,https://www.datacenters.com/locations/china/shanghai/shanghai,"31.320884,121.606972",7,2025-06-20 17:01:25
上海市,浦东新区,31.221517,121.544379,Shanghai Hulan IDC Data Center,https://www.datacenters.com/locations/china/shanghai/shanghai,"31.221517,121.544379",8,2025-06-20 17:01:25
上海市,杨浦区,31.276205,121.541897,Shanghai Hotline Information Building Data Center,https://www.datacenters.com/locations/china/shanghai/shanghai,"31.276205,121.541897",9,2025-06-20 17:01:25
上海市,宝山区,31.344898,121.451176,SH1 Pudong New Area Data Center,https://www.datacenters.com/locations/china/shanghai/shanghai,"31.344898,121.451176",10,2025-06-20 17:01:25
上海市,杨浦区,31.2341239,121.509968,SH2 Data Center,https://www.datacenters.com/locations/china/shanghai/shanghai,"31.2341239,121.509968",11,2025-06-20 17:01:25
上海市,浦东新区,31.214146,121.637741,Shanghai Jinqiao Data Center,https://www.datacenters.com/locations/china/shanghai/shanghai,"31.214146,121.637741",12,2025-06-20 17:01:25
上海市,浦东新区,31.24631,121.620243,SHA2 Shanghai Data Center,https://www.datacenters.com/locations/china/shanghai/shanghai,"31.24631,121.620243",13,2025-06-20 17:01:25
上海市,浦东新区,31.266133,121.611248,Shanghai Data Center (SH4),https://www.datacenters.com/locations/china/shanghai/shanghai,"31.266133,121.611248",14,2025-06-20 17:01:25
上海市,普陀区,31.3138344,121.4411019,Kunshan Data Center (KS3),https://www.datacenters.com/locations/china/shanghai/shanghai,"31.3138344,121.4411019",15,2025-06-20 17:01:25
